Expected Kalman,Expected X,Expected Y
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
1,-1.5,2.5
